,Name,Price,Brand,Review counts,Review score,Product status,Company name,Link,RAM,RAM Type,Ratio RAM/€
363,"MacBook Air 13"" 15E i5-5250U - 8GB - 128GB-SSD",448.56,APPLE,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles-apple-macbook/2362228-3889-apple-macbook-air-13-15e-i5-5250u-8gb-128gb-ssd-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.017834849295523453
364,"MacBook Air 13"" 15E i5-5250U - 8GB - 128GB-SSD",448.56,APPLE,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles-apple-macbook/2362224-3885-apple-macbook-air-13-15e-i5-5250u-8gb-128gb-ssd-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.017834849295523453
365,"T570 i7-6600U - 16GB - 512GB-NVMe - 15.6""FHD - W10P COA",573.22,LENOVO,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2362222-3883-lenovo-t570-i7-6600u-16gb-512gb-nvme-156-fhd-w10p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,16,RAM2,0.02791249433027459
366,"EliteBook 840 G5 i5-7300U - 8GB - 256GB-NVMe - 14""FHD - W10P CMAR",561.18,HP,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2362196-3873-hp-elitebook-840-g5-i5-7300u-8gb-256gb-nvme-14-fhd-w10p-cmar-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.014255675540824693
367,"XPS 13 7390 2-in-1 i7-1065G7 - 16GB - 256GB-NVMe - 13.4""",1141.08,DELL,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2362021-3854-dell-xps-13-7390-2-in-1-i7-1065g7-16gb-256gb-nvme-134-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,16,RAM2,0.014021803905072388
368,"Latitude E5570 i5-6300U - 8GB - 256GB-SSD - 15.6""FHD - W10P COA",481.6,DELL,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2361612-3818-dell-latitude-e5570-i5-6300u-8gb-256gb-ssd-156-fhd-w10p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.01661129568106312
369,"T450 i5-4300U - 8GB - 256GB-SSD - 14""HD+ - W10P COA",214.89,LENOVO,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2361232-3805-lenovo-t450-i5-4300u-8gb-256gb-ssd-14-hd-w10p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.03722834938805901
370,"T470 i5-6300U - 8GB - 256GB-NVMe - 14""HD - W10P COA",254.05,LENOVO,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2360901-3778-lenovo-t470-i5-6300u-8gb-256gb-nvme-14-hd-w10p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.03148986419996064
371,"L450 i5-5300U - 16GB - 256GB-SSD - 14""HD - W10P COA",287.6,LENOVO,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2360870-3776-lenovo-l450-i5-5300u-16gb-256gb-ssd-14-hd-w10p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,16,RAM2,0.05563282336578581
372,"ThinkPad L440 i5-4300M - 8GB - 256GB-SSD - DVDRW - 14""HD - W8P COA",194.0,LENOVO,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2360583-3758-lenovo-thinkpad-l440-i5-4300m-8gb-256gb-ssd-dvdrw-14-hd-w8p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.041237113402061855
373,"T450 i5-5300U - 4GB - 128GB-SSD - 14""HD+ - W10P COA",206.88,LENOVO,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2360566-3756-lenovo-t450-i5-5300u-4gb-128gb-ssd-14-hd-w10p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,4,RAM1,0.019334880123743233
